supplementary_table,title,caption,source_table,source_data
S1,Parameterized stressor levels,Parameterized stressor levels used in EmbodiedStressBench. Values are generated from YAML stressor configuration files.,paper/scientific_reports/tables/stressor_parameter_table.tex,paper/scientific_reports/tables/stressor_parameter_table.tex
S2,Benchmark comparison,Comparison with representative manipulation and embodied-AI benchmarks. EmbodiedStressBench is complementary: it diagnoses the language-to-target stage rather than replacing policy-level benchmarks.,paper/scientific_reports/tables/benchmark_comparison_table.tex,paper/scientific_reports/tables/benchmark_comparison_table.tex
S3,Claim-support matrix,Full claim-support matrix for the Scientific Reports manuscript.,paper/scientific_reports/tables/claim_support_matrix_full.tex,paper/scientific_reports/tables/claim_support_matrix_full.tex
S4,Oracle diagnostic success,Oracle diagnostic success is high but not forced to one. Rates are from the stored diagnostic sweeps and reflect the same finite target-distance threshold and stressor protocol as non-oracle sources.,paper/scientific_reports/tables/oracle_diagnostic_success_summary.tex,paper/scientific_reports/tables/oracle_diagnostic_success_summary.csv
S5,Threshold sensitivity,Threshold sensitivity of diagnostic target success recomputed from stored target-error values.,paper/scientific_reports/tables/threshold_sensitivity.tex,scientific_reports_revision_20260521/threshold_sensitivity.csv
S6,Detector-bridge summary,Learned-detector bridge results for Scientific Reports. Rates are percentages. This table uses detector-valid rows with recorded GroundingDINO debug fields; the separate YCB/clutter query check is reported in Table tab:scirep-query-ablation.,paper/scientific_reports/tables/open_vocab_detector_transfer_summary.tex,paper/scientific_reports/tables/open_vocab_detector_transfer_summary.csv
S7,YCB/clutter query ablation,GroundingDINO query-ablation on YCB/clutter. Rates are percentages for crop-median target lifting. True-name rows are included only when the deep identity probe resolves non-generic YCB object names; otherwise the table should be interpreted as an adapter-label/query-mismatch audit.,paper/scientific_reports/tables/query_ablation_summary.tex,paper/scientific_reports/tables/query_ablation_summary.csv
S8,Object-name resolution audit,YCB/clutter object-name resolution audit. A true object-name prompt ablation is claimable only when non-generic names are resolved from the simulator adapter.,paper/scientific_reports/tables/target_name_probe_summary.tex,paper/scientific_reports/tables/target_name_probe_summary.csv
S9,Paired effect summaries,"Seed-paired effect summaries for selected detector/selector comparisons. Effects are percentage-point differences in diagnostic success; intervals use 2,000 paired seed-block percentile bootstrap resamples.",paper/scientific_reports/tables/paired_effects_scirep.tex,paper/scientific_reports/tables/paired_effects_scirep.csv
S10,Low-IoU valid-3D summary,"Low-IoU but valid-3D summary for GroundingDINO rows with recorded IoU fields. Success is still evaluated by 3D target distance at the default 0.08 m threshold, so low 2D overlap can preserve valid 3D crop evidence in some cases.",paper/scientific_reports/tables/low_iou_valid_3d_summary.tex,paper/scientific_reports/tables/low_iou_valid_3d_summary.csv
S11,External RGB-D validation summary,"External real RGB-D validation on YCB-V/BOP. The visible-mask median is the 3D reference. Oracle-mask and oracle-2D-box controls isolate RGB-D lifting from detector localization, while GroundingDINO rows combine open-vocabulary 2D detection with the same target sources. Rates are percentages; success uses the default 0.08 m target-distance threshold.",paper/scientific_reports/tables/external_rgbd_validation_summary.tex,paper/scientific_reports/tables/external_rgbd_validation_summary.csv
S12,External RGB-D object stratification,External YCB-V/BOP object-level stratification excerpt. The full object-level CSV is included in the source-data release.,paper/scientific_reports/tables/external_rgbd_by_object.tex,paper/scientific_reports/tables/external_rgbd_by_object.csv
S13,External RGB-D scene stratification,External YCB-V/BOP scene-level stratification excerpt. The full scene-level CSV is included in the source-data release.,paper/scientific_reports/tables/external_rgbd_by_scene.tex,paper/scientific_reports/tables/external_rgbd_by_scene.csv
S14,External RGB-D detector-threshold sensitivity,GroundingDINO detector-threshold sensitivity on the full YCB-V/BOP external RGB-D probe. Rows use crop-trimmed median depth and true object-name prompts. Rates are percentages.,paper/scientific_reports/tables/external_rgbd_detector_threshold_sensitivity.tex,paper/scientific_reports/tables/external_rgbd_detector_threshold_sensitivity.csv
