path,source,role,status
scientific_reports_revision_20260521\release_package\README_REPRODUCIBILITY.md,README_REPRODUCIBILITY.md,reproducibility,included
scientific_reports_revision_20260521\release_package\schemas\episode_result_schema.json,schemas\episode_result_schema.json,schema,included
scientific_reports_revision_20260521\release_package\docs\scientific_reports_result_to_claim.md,docs\scientific_reports_result_to_claim.md,audit,included
scientific_reports_revision_20260521\release_package\docs\claim_evidence_table_scientific_reports.md,docs\claim_evidence_table_scientific_reports.md,audit,included
scientific_reports_revision_20260521\release_package\docs\scientific_reports_experiment_status.md,docs\scientific_reports_experiment_status.md,audit,included
scientific_reports_revision_20260521\release_package\docs\scirep_data_code_release_checklist.md,docs\scirep_data_code_release_checklist.md,metadata,included
scientific_reports_revision_20260521\release_package\docs\final_scirep_revision_report.md,scientific_reports_revision_20260521\final_scirep_revision_report.md,audit,included
scientific_reports_revision_20260521\release_package\source_data\qualitative_case_manifest.csv,scientific_reports_revision_20260521\qualitative_case_manifest.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\scirep_open_vocab_detector_transfer_combined.csv,scientific_reports_revision_20260521\scirep_open_vocab_detector_transfer_combined.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\tables\closed_loop_oracle_calibration_v2_gate.csv,paper\scientific_reports\tables\closed_loop_oracle_calibration_v2_gate.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\tables\closed_loop_oracle_gate_by_task.csv,paper\scientific_reports\tables\closed_loop_oracle_gate_by_task.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\tables\closed_loop_smoke_by_task.csv,paper\scientific_reports\tables\closed_loop_smoke_by_task.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\tables\open_vocab_detector_transfer_summary.csv,paper\scientific_reports\tables\open_vocab_detector_transfer_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\tables\oracle_diagnostic_success_summary.csv,paper\scientific_reports\tables\oracle_diagnostic_success_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\tables\query_ablation_summary.csv,paper\scientific_reports\tables\query_ablation_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\tables\target_name_probe_summary.csv,paper\scientific_reports\tables\target_name_probe_summary.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_2d_center_vs_3d_error.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_2d_center_vs_3d_error.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_by_detector_target_source.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_by_detector_target_source.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_by_query_variant.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_by_query_variant.csv,source data,included
scientific_reports_revision_20260521\release_package\source_data\query_ablation\open_vocab_bridge_v2_by_stressor.csv,outputs\scirep_query_ablation_20260521\open_vocab_bridge_v2_by_stressor.csv,source data,included
