source_file,filename,status,task,baseline,query_variant,query_template,detector,target_source,stressor,level,seed,success,failure_type,target_error_l2,query_used,selected_detection_label,selected_detection_is_target,selection_failure_reason,grounding_dino_target_iou,grounding_dino_score,has_grounding_dino_debug,num_detections,num_candidate_detections,center_error_2d_px
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickClutterYCB__crop_trimmed_median_depth_grounding_dino__same_shape_distractor_L0__seed91__q-object_label.json,PickClutterYCB__crop_trimmed_median_depth_grounding_dino__same_shape_distractor_L0__seed91__q-object_label.json,ok,PickClutterYCB,crop_trimmed_median_depth_grounding_dino,object_label,{target_label},GroundingDINO,crop_trimmed_median_depth,same_shape_distractor,0,91,False,wrong_detection_selected,0.275324021014671,target object,target object,False,,0.0,0.406546413898468,True,2,2,31.784430150625635
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickSingleYCB__crop_trimmed_median_depth_grounding_dino__same_color_distractor_L0__seed104__q-generic.json,PickSingleYCB__crop_trimmed_median_depth_grounding_dino__same_color_distractor_L0__seed104__q-generic.json,ok,PickSingleYCB,crop_trimmed_median_depth_grounding_dino,generic,target object,GroundingDINO,crop_trimmed_median_depth,same_color_distractor,0,104,False,wrong_detection_selected,0.4225609632918331,target object,target object,False,,0.0,0.6271973848342896,True,2,2,58.67282164682384
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickClutterYCB__crop_trimmed_median_depth_grounding_dino__depth_sparsity_L0__seed96__q-category.json,PickClutterYCB__crop_trimmed_median_depth_grounding_dino__depth_sparsity_L0__seed96__q-category.json,ok,PickClutterYCB,crop_trimmed_median_depth_grounding_dino,category,{target_category},GroundingDINO,crop_trimmed_median_depth,depth_sparsity,0,96,False,wrong_detection_selected,0.217253856539506,object,object,False,,0.0,0.6566972732543945,True,1,1,49.81214711292819
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickSingleYCB__crop_median_depth_query_aware__depth_sparsity_L0__seed101__q-generic.json,PickSingleYCB__crop_median_depth_query_aware__depth_sparsity_L0__seed101__q-generic.json,ok,PickSingleYCB,crop_median_depth_query_aware,generic,target object,metadata query-aware,crop_median_depth,depth_sparsity,0,101,True,success,0.0736236519722877,target object,target object,True,,,,False,1,1,0.0
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickClutterYCB__crop_median_depth_query_aware__depth_sparsity_L0__seed98__q-generic.json,PickClutterYCB__crop_median_depth_query_aware__depth_sparsity_L0__seed98__q-generic.json,ok,PickClutterYCB,crop_median_depth_query_aware,generic,target object,metadata query-aware,crop_median_depth,depth_sparsity,0,98,True,success,0.053850826356568016,target object,target object,True,,,,False,1,1,0.0
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickSingleYCB__crop_median_depth_query_aware__same_color_distractor_L0__seed96__q-category.json,PickSingleYCB__crop_median_depth_query_aware__same_color_distractor_L0__seed96__q-category.json,ok,PickSingleYCB,crop_median_depth_query_aware,category,{target_category},metadata query-aware,crop_median_depth,same_color_distractor,0,96,True,success,0.07543772217644477,object,red target distractor,False,,,,False,2,2,0.0
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickClutterYCB__crop_trimmed_median_depth_grounding_dino__same_color_distractor_L0__seed103__q-object_label.json,PickClutterYCB__crop_trimmed_median_depth_grounding_dino__same_color_distractor_L0__seed103__q-object_label.json,ok,PickClutterYCB,crop_trimmed_median_depth_grounding_dino,object_label,{target_label},GroundingDINO,crop_trimmed_median_depth,same_color_distractor,0,103,False,wrong_detection_selected,0.3018122602979125,target object,target object,False,,0.0023754472756193565,0.3690519332885742,True,2,2,49.489897959078476
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickSingleYCB__crop_trimmed_median_depth_grounding_dino__partial_target_occlusion_L3__seed96__q-category.json,PickSingleYCB__crop_trimmed_median_depth_grounding_dino__partial_target_occlusion_L3__seed96__q-category.json,ok,PickSingleYCB,crop_trimmed_median_depth_grounding_dino,category,{target_category},GroundingDINO,crop_trimmed_median_depth,partial_target_occlusion,3,96,False,wrong_detection_selected,0.4307029148130796,object,object,False,,0.0,0.6997990012168884,True,1,1,62.03224967708329
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickClutterYCB__crop_median_depth_grounding_dino__partial_target_occlusion_L3__seed98__q-label_phrase.json,PickClutterYCB__crop_median_depth_grounding_dino__partial_target_occlusion_L3__seed98__q-label_phrase.json,ok,PickClutterYCB,crop_median_depth_grounding_dino,label_phrase,the {target_label},GroundingDINO,crop_median_depth,partial_target_occlusion,3,98,False,wrong_detection_selected,0.40663290697573384,the target object,the target object,False,,0.0,0.39632710814476013,True,1,1,47.88788990966297
/data/openMythosBench_project/outputs/open_vocab_query_ablation_ycb_clutter_20260521/shard_5/PickClutterYCB__crop_trimmed_median_depth_grounding_dino__same_shape_distractor_L3__seed98__q-label_phrase.json,PickClutterYCB__crop_trimmed_median_depth_grounding_dino__same_shape_distractor_L3__seed98__q-label_phrase.json,ok,PickClutterYCB,crop_trimmed_median_depth_grounding_dino,label_phrase,the {target_label},GroundingDINO,crop_trimmed_median_depth,same_shape_distractor,3,98,False,wrong_detection_selected,0.40663290697573384,the target object,the target object,False,,0.0,0.42805930972099304,True,2,2,47.88788990966297
